2;arms_factory;3851.00;12.85;21.00;5.41;0
2;arms_factory;3951.00;12.00;11.00;5.51;0
2;arms_factory;3854.00;13.15;24.00;3.35;0
2;arms_factory;3867.00;13.20;55.00;6.01;0
2;arms_factory;3805.00;12.15;29.00;2.40;0
2;arms_factory;3839.00;12.95;58.00;3.96;0
2;industrial_complex;3791.00;11.35;34.00;1.80;0
2;industrial_complex;3870.00;12.73;36.00;3.00;0
2;industrial_complex;3793.00;11.15;37.00;0.84;0
2;industrial_complex;3810.00;12.30;68.00;2.40;0
2;industrial_complex;3940.00;11.88;3.00;5.07;0
2;industrial_complex;3802.00;11.70;70.00;1.45;0
2;air_base;3907.00;11.15;5.00;4.47;0
2;bunker;3820.00;13.35;50.00;0.85;0
2;bunker;3888.00;11.88;28.00;3.51;0
2;bunker;3909.00;11.25;4.00;1.35;0
2;bunker;3862.00;13.05;66.00;1.46;0
2;bunker;3817.00;12.60;29.00;5.58;0
2;anti_air_building;3807.00;11.43;87.00;1.96;0
2;anti_air_building;3834.00;11.53;4.00;6.08;0
2;anti_air_building;3869.00;11.05;1.00;6.18;0
2;synthetic_refinery;3840.00;11.75;6.00;4.02;0
2;fuel_silo;3782.00;11.25;63.00;0.41;0
2;radar_station;3864.00;13.50;47.00;5.02;0
2;rocket_site;3855.00;13.57;39.00;6.09;0
2;nuclear_reactor;3899.00;11.30;11.00;2.47;0
3;arms_factory;2932.00;11.30;61.00;3.35;0
3;arms_factory;2964.00;11.30;23.00;6.01;0
3;arms_factory;2962.00;11.05;42.00;2.40;0
3;arms_factory;2900.00;11.80;6.00;3.96;0
3;arms_factory;2959.00;10.80;66.00;1.80;0
3;arms_factory;2923.00;11.80;51.00;3.00;0
3;industrial_complex;2860.00;11.78;46.00;0.84;0
3;industrial_complex;2816.00;11.60;52.00;2.40;0
3;industrial_complex;2952.00;11.30;34.00;5.07;0
3;industrial_complex;2934.00;11.00;94.00;1.45;0
3;industrial_complex;2876.00;11.40;13.00;4.47;0
3;industrial_complex;2943.00;10.73;77.00;0.85;0
3;air_base;2976.00;11.10;21.00;3.51;0
3;bunker;2881.00;11.70;56.00;1.35;0
3;bunker;2986.00;10.80;44.00;1.46;0
3;bunker;2887.00;11.80;64.00;5.58;0
3;bunker;2906.00;11.48;91.00;1.96;0
3;bunker;2955.00;11.20;49.00;6.08;0
3;bunker;2996.00;11.20;14.00;6.18;0
3;bunker;2859.00;11.30;14.00;4.02;0
3;bunker;2915.00;12.60;35.00;0.41;0
